 i     T(s)     σ (μS/cm)  
 1     0005.0   418.5528   
 2     0010.0   418.4918   
 3     0016.0   417.0880   
 4     0022.0   417.4237   
 5     0028.0   418.5223   
 6     0033.0   418.4918   
 7     0039.0   416.0198   
 8     0045.0   415.9588   
 9     0050.0   414.7381   
 10    0056.0   403.9042   
 11    0062.0   403.9042   
 12    0067.0   401.2491   
 13    0073.0   398.7161   
 14    0079.0   399.8148   
 15    0084.0   397.3123   
 16    0103     436.2838   
 17    0122     642.4637   
 18    0140     881.3589   
 19    0159     716.5920   
 20    0178     531.2560   
 21    0196     459.1724   
 22    0215     430.1192   
 23    0234     424.6870   
 24    0252     415.9893   
 25    0271     413.6394   
 26    0290     415.8672   
 27    0308     412.3882   
 28    0327     411.2285   
 29    0346     411.1370   
 30    0364     411.1370   
